MemberID,Team,Gender,Age,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA9,PA10,NA1,NA2,NA3,NA4,NA5,NA6,NA7,NA8,NA9,NA10,PsyS1,PsyS2,PsyS3,PsyS4
1,CA,2,21,6,4,5,6,5,6,6,6,5,6,2,2,5,1,2,2,2,5,4,2,7,4,2,6
2,CA,2,33,6,5,4,4,4,3,4,4,5,5,1,1,1,1,1,1,1,4,2,1,6,6,6,6
3,CA,1,24,5,5,4,5,4,2,5,4,6,5,2,2,1,1,1,2,2,3,3,1,6,7,5,6
1,CAA,2,22,5,6,6,4,4,4,6,4,4,5,2,2,1,1,1,1,1,3,1,1,2,6,6,6
2,CAA,2,27,4,4,4,5,4,3,3,4,4,6,1,1,1,1,1,1,1,3,3,1,7,6,5,7
3,CAA,2,25,6,6,6,7,5,4,6,6,6,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7
1,CAB,2,24,6,6,6,6,6,2,7,4,7,6,2,1,2,1,1,1,1,2,1,1,5,3,6,7
2,CAB,2,30,4,4,3,3,4,4,4,4,4,4,3,6,3,4,3,3,4,4,3,3,6,4,6,6
1,CAC,2,20,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,6,6,5,6
2,CAC,2,19,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7
3,CAC,2,19,6,5,2,5,5,6,6,5,6,3,1,2,1,1,1,1,1,5,5,1,7,7,6,7
1,CAE,1,28,7,5,6,6,4,3,5,6,7,7,1,1,1,1,3,2,2,3,2,2,4,3,6,7
2,CAE,1,25,6,5,4,6,6,4,5,6,6,6,1,1,1,1,1,1,1,1,1,1,4,7,6,7
3,CAE,2,26,5,4,3,5,4,3,4,4,6,6,2,2,2,2,4,2,1,1,4,1,5,4,6,6
1,CAE,2,23,6,6,5,5,6,5,7,6,5,6,5,2,2,2,1,2,2,3,2,2,6,4,6,6
2,CAF,2,26,5,5,3,4,3,1,4,4,4,5,4,1,1,1,4,4,1,1,4,1,7,4,7,6
3,CAF,2,23,7,7,7,7,6,4,7,7,5,7,1,1,1,1,1,1,1,1,1,1,1,7,7,7
4,CAF,2,22,7,7,7,7,6,6,6,6,7,7,1,1,1,1,1,1,1,1,1,1,7,4,7,7
1,CAG,1,30,6,6,6,6,6,6,5,6,5,6,1,1,1,1,1,1,1,1,1,1,6,7,6,6
2,CAG,1,31,6,6,4,4,5,3,4,4,5,5,5,3,3,5,3,3,3,3,5,3,7,7,7,7
3,CAG,2,31,5,6,6,6,5,6,5,4,4,5,2,2,2,2,2,2,2,2,2,2,7,7,7,7
1,CAH,2,19,5,4,4,4,6,2,6,5,6,5,1,1,1,1,1,1,1,1,1,1,7,6,5,7
2,CAH,2,34,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7
3,CAH,1,23,7,7,4,7,7,4,7,7,7,7,7,3,7,4,1,1,5,5,4,2,7,6,6,7
1,CAK,2,27,7,5,6,6,7,4,5,7,7,1,1,1,1,1,1,1,1,2,1,1,7,7,7,7
2,CAK,1,21,4,3,4,4,2,4,4,5,5,1,1,1,1,1,1,1,1,4,5,1,7,5,6,6
3,CAK,1,23,5,5,4,5,4,3,4,4,5,5,1,1,1,1,1,1,1,2,1,1,6,7,6,6
4,CAK,3,21,5,5,3,4,3,3,3,3,5,4,1,1,1,1,1,1,1,5,3,3,6,7,5,7
1,CAL,1,27,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,5,5,4,5
2,CAL,2,23,7,7,5,6,5,5,6,5,6,7,3,1,1,1,1,1,1,4,2,1,6,7,7,7
3,CAL,1,19,4,4,5,6,4,3,4,4,7,7,1,1,1,1,1,1,1,2,1,1,6,6,6,6
4,CAL,2,24,7,6,6,6,7,4,5,6,5,6,2,2,1,1,1,1,1,1,1,1,6,6,6,6
